iter	Passed	Remaining
725	1525589	575773
726	1526766	573325
727	1527943	570880
728	1529114	568436
729	1530301	566002
730	1531474	563565
731	1532608	561118
732	1533769	558685
733	1534874	556235
734	1536070	553821
735	1537202	551387
736	1538353	548964
737	1539427	546517
738	1540554	544092
739	1541731	541689
740	1542891	539283
741	1544068	536886
742	1545238	534490
743	1546445	532110
744	1547614	529720
745	1548924	527381
746	1550144	525015
747	1551355	522649
748	1552473	520254
749	1553540	517846
750	1554680	515466
751	1555818	513089
752	1556991	510726
753	1558138	508358
754	1559346	506012
755	1560551	503669
756	1561720	501318
757	1563021	499012
758	1564169	496659
759	1565467	494358
760	1566687	492034
761	1567913	489715
762	1569094	487385
763	1570251	485051
764	1571403	482718
765	1572541	480384
766	1573756	478077
767	1574953	475767
768	1576099	473444
769	1577232	471121
770	1578578	468864
771	1579757	466560
772	1580915	464253
773	1582114	461961
774	1583248	459652
775	1584345	457336
776	1585591	455066
777	1586750	452774
778	1587914	450486
779	1589178	448229
780	1590356	445951
781	1591461	443655
782	1592595	441370
783	1593747	439093
784	1594917	436824
785	1596153	434576
786	1597319	432311
787	1598481	430048
788	1599635	427785
789	1600818	425533
790	1602011	423287
791	1603217	421047
792	1604399	418802
793	1605640	416576
794	1606867	414349
795	1608036	412109
796	1609205	409872
797	1610398	407644
798	1611611	405424
799	1612709	403177
800	1613832	400939
801	1614971	398708
802	1616109	396480
803	1617214	394246
804	1618471	392052
805	1619617	389833
806	1620998	387673
807	1622293	385495
808	1623441	383284
809	1624604	381080
810	1625910	378911
811	1627128	376724
812	1628258	374519
813	1629361	372311
814	1630543	370123
815	1631740	367941
816	1632826	365737
817	1634005	363556
818	1635111	361361
819	1636372	359203
820	1637528	357025
821	1638756	354864
822	1639903	352688
823	1641140	350534
824	1642297	348366
825	1643368	346181
826	1644577	344028
827	1645771	341875
828	1646958	339722
829	1648140	337570
830	1649339	335425
831	1650476	333269
832	1651670	331127
833	1652814	328977
834	1653965	326831
835	1655136	324691
836	1656374	322567
837	1657629	320448
838	1658847	318324
839	1660018	316193
840	1661186	314064
841	1662364	311940
842	1663533	309815
843	1664695	307692
844	1665865	305573
845	1667019	303452
846	1668213	301341
847	1669601	299268
848	1670820	297165
849	1671970	295053
850	1673060	292933
851	1674192	290822
852	1675357	288719
853	1676424	286601
854	1677527	284493
855	1678687	282395
856	1679789	280291
857	1680908	278192
858	1682085	276104
859	1683272	274021
860	1684398	271929
861	1685555	269845
